"","TeamA","TeamB","WinA","WinB","Winner"
"1","Mumbai Indians","Chennai Super Kings","767","233","Mumbai Indians"
"2","Mumbai Indians","Kings XI Punjab","610","390","Mumbai Indians"
"3","Mumbai Indians","Delhi Capitals","725","275","Mumbai Indians"
"4","Mumbai Indians","Royal Challengers Bangalore","616","384","Mumbai Indians"
"5","Mumbai Indians","Kolkata Knight Riders","882","118","Mumbai Indians"
"6","Mumbai Indians","Rajasthan Royals","437","563","Rajasthan Royals"
"7","Mumbai Indians","Sunrisers Hyderabad","525","475","Mumbai Indians"
"8","Chennai Super Kings","Kings XI Punjab","646","354","Chennai Super Kings"
"9","Chennai Super Kings","Delhi Capitals","510","490","Chennai Super Kings"
"10","Chennai Super Kings","Royal Challengers Bangalore","544","456","Chennai Super Kings"
"11","Chennai Super Kings","Kolkata Knight Riders","547","453","Chennai Super Kings"
"12","Chennai Super Kings","Rajasthan Royals","563","437","Chennai Super Kings"
"13","Chennai Super Kings","Sunrisers Hyderabad","540","460","Chennai Super Kings"
"14","Kings XI Punjab","Delhi Capitals","597","403","Kings XI Punjab"
"15","Kings XI Punjab","Royal Challengers Bangalore","423","577","Royal Challengers Bangalore"
"16","Kings XI Punjab","Kolkata Knight Riders","458","542","Kolkata Knight Riders"
"17","Kings XI Punjab","Rajasthan Royals","496","504","Rajasthan Royals"
"18","Kings XI Punjab","Sunrisers Hyderabad","327","673","Sunrisers Hyderabad"
"19","Delhi Capitals","Royal Challengers Bangalore","689","311","Delhi Capitals"
"20","Delhi Capitals","Kolkata Knight Riders","570","430","Delhi Capitals"
"21","Delhi Capitals","Rajasthan Royals","792","208","Delhi Capitals"
"22","Delhi Capitals","Sunrisers Hyderabad","357","643","Sunrisers Hyderabad"
"23","Royal Challengers Bangalore","Kolkata Knight Riders","802","198","Royal Challengers Bangalore"
"24","Royal Challengers Bangalore","Rajasthan Royals","433","567","Rajasthan Royals"
"25","Royal Challengers Bangalore","Sunrisers Hyderabad","188","812","Sunrisers Hyderabad"
"26","Kolkata Knight Riders","Rajasthan Royals","876","124","Kolkata Knight Riders"
"27","Kolkata Knight Riders","Sunrisers Hyderabad","415","585","Sunrisers Hyderabad"
"28","Rajasthan Royals","Sunrisers Hyderabad","331","669","Sunrisers Hyderabad"
"29","Mumbai Indians","Chennai Super Kings","759","241","Mumbai Indians"
"30","Mumbai Indians","Kings XI Punjab","597","403","Mumbai Indians"
"31","Mumbai Indians","Delhi Capitals","718","282","Mumbai Indians"
"32","Mumbai Indians","Royal Challengers Bangalore","588","412","Mumbai Indians"
"33","Mumbai Indians","Kolkata Knight Riders","870","130","Mumbai Indians"
"34","Mumbai Indians","Rajasthan Royals","435","565","Rajasthan Royals"
"35","Mumbai Indians","Sunrisers Hyderabad","502","498","Mumbai Indians"
"36","Chennai Super Kings","Kings XI Punjab","616","384","Chennai Super Kings"
"37","Chennai Super Kings","Delhi Capitals","515","485","Chennai Super Kings"
"38","Chennai Super Kings","Royal Challengers Bangalore","575","425","Chennai Super Kings"
"39","Chennai Super Kings","Kolkata Knight Riders","562","438","Chennai Super Kings"
"40","Chennai Super Kings","Rajasthan Royals","586","414","Chennai Super Kings"
"41","Chennai Super Kings","Sunrisers Hyderabad","569","431","Chennai Super Kings"
"42","Kings XI Punjab","Delhi Capitals","586","414","Kings XI Punjab"
"43","Kings XI Punjab","Royal Challengers Bangalore","434","566","Royal Challengers Bangalore"
"44","Kings XI Punjab","Kolkata Knight Riders","437","563","Kolkata Knight Riders"
"45","Kings XI Punjab","Rajasthan Royals","476","524","Rajasthan Royals"
"46","Kings XI Punjab","Sunrisers Hyderabad","314","686","Sunrisers Hyderabad"
"47","Delhi Capitals","Royal Challengers Bangalore","670","330","Delhi Capitals"
"48","Delhi Capitals","Kolkata Knight Riders","586","414","Delhi Capitals"
"49","Delhi Capitals","Rajasthan Royals","811","189","Delhi Capitals"
"50","Delhi Capitals","Sunrisers Hyderabad","339","661","Sunrisers Hyderabad"
"51","Royal Challengers Bangalore","Kolkata Knight Riders","815","185","Royal Challengers Bangalore"
"52","Royal Challengers Bangalore","Rajasthan Royals","433","567","Rajasthan Royals"
"53","Royal Challengers Bangalore","Sunrisers Hyderabad","225","775","Sunrisers Hyderabad"
"54","Kolkata Knight Riders","Rajasthan Royals","885","115","Kolkata Knight Riders"
"55","Kolkata Knight Riders","Sunrisers Hyderabad","409","591","Sunrisers Hyderabad"
"56","Rajasthan Royals","Sunrisers Hyderabad","369","631","Sunrisers Hyderabad"
